patch_id,corner,bivariate_id,n_pixels,area_m2,elevation,inland_position,slope,building_50m,impervious_50m,canopy_height_max,southness,tpi_50m
114,cool-stable,1,44,4400.0,18.4245,1623.6052,4.129597,0.0,0.0,24.8125,-0.3780436,-0.19729993
115,cool-stable,1,132,13200.0,25.987,1574.4999,2.6444983,0.0,0.0,24.7435,-0.68295,-0.029819831
116,cool-stable,1,20,2000.0,19.5285,3000.0,2.4637852,0.049540002,0.09910494,28.4995,-0.6626272,-0.32048005
117,cool-stable,1,9,900.0,17.494,3000.0,1.3671281,0.17822222,0.27876544,5.209,0.82750624,0.00748024
118,cool-stable,1,14,1400.0,26.324501,1692.1879,4.912797,0.0,0.0,27.217,0.92822707,0.06995968
119,cool-stable,1,13,1300.0,18.747,3000.0,2.436293,0.04870769,0.0925736,28.579,-0.507517,0.11648025
120,cool-stable,1,130,13000.0,14.132999,1319.1473,2.993762,0.0,0.0,32.758,0.03613187,-0.2498402
121,cool-stable,1,28,2800.0,19.524,3000.0,0.60548115,0.0988,0.35046738,4.8215,0.8979779,-0.02396019
122,cool-stable,1,16,1600.0,18.284,1680.9075,1.8058562,1e-04,0.22904322,25.0105,-0.81907105,-0.19924057
123,cool-stable,1,9,900.0,18.859,3000.0,0.8379247,0.039733335,0.13884774,26.26,-0.54073507,-0.24319954
124,cool-stable,1,26,2600.0,21.7325,3000.0,0.7595873,0.14318462,0.21692307,6.1775,0.7404723,0.06870064
125,cool-stable,1,31,3100.0,12.961,1456.7087,2.1125462,0.0,0.0,28.346,0.19718659,-0.92059964
126,cool-stable,1,110,11000.0,19.3345,1249.76,3.4733343,0.0,0.024010101,28.1975,0.6302517,0.007119904
127,cool-stable,1,45,4500.0,25.552,1484.8906,4.1908255,0.0,0.0,26.371,0.873446,0.10871986
128,cool-stable,1,17,1700.0,19.784,3000.0,1.899123,0.028470589,0.06054466,26.535,0.09878801,-0.1198407
129,cool-stable,1,42,4200.0,23.525501,1209.9791,3.1212597,0.0,0.0,30.2625,-0.43081695,0.16425937
130,cool-stable,1,16,1600.0,16.4795,3000.0,0.6578536,0.1956,0.36957562,4.7985,0.892002,0.02425949
131,cool-stable,1,94,9400.0,19.953499,3000.0,0.9235287,0.014910638,0.047584713,30.608002,0.36255088,-0.011659469
132,cool-stable,1,12,1200.0,25.772999,1491.1404,4.384387,0.0,0.0,26.196,-0.015486494,0.04697956
133,cool-stable,1,37,3700.0,16.585,3000.0,0.94210243,0.010356757,0.119773105,27.69,0.448456,-0.13304001
134,cool-stable,1,61,6100.0,26.038,3000.0,3.703288,0.0058295084,0.024488969,25.791,0.15774886,-0.056000367
135,cool-stable,1,15,1500.0,12.886,1150.1738,2.608455,0.0,0.0,33.903,-0.30676144,-0.3495203
136,cool-stable,1,9,900.0,18.275,3000.0,0.9316489,0.08995555,0.121193424,27.881,0.09404936,0.11939949
137,cool-stable,1,82,8200.0,27.649,1722.2368,3.1067514,0.007365854,0.04526799,25.546,0.41761428,-0.08284
138,cool-stable,1,15,1500.0,25.972,1426.3589,5.2914424,0.0,0.0054567903,25.042,0.91035724,0.33359924
139,cool-stable,1,22,2200.0,21.3865,3000.0,0.57665575,0.0,0.0,30.8415,0.881812,-0.04004032
140,cool-stable,1,59,5900.0,18.557,3000.0,0.42450935,0.0052135596,0.09409918,25.667,0.19823356,-0.14112008
141,cool-stable,1,11,1100.0,25.795,1095.5364,4.800103,0.0,0.0,23.171,0.9118304,0.081999816
142,cool-stable,1,13,1300.0,9.8,1282.8094,0.8013645,0.0,0.20052232,22.75,0.10378433,-0.3570001
143,cool-stable,1,18,1800.0,18.619,1433.8584,2.5794065,0.009088889,0.022530865,22.135,-0.48341182,-0.4098204
144,cool-stable,1,26,2600.0,16.897,1316.4724,2.0744014,0.0,0.0004463438,26.0955,0.47415286,0.020220071
145,cool-stable,1,9,900.0,21.042,1216.4292,3.2537606,0.0,0.0,24.046,-0.6763417,-0.2921591
146,cool-stable,1,133,13300.0,12.06,941.9129,1.4929132,0.0,0.0,26.288,0.3313545,-0.085120395
