patch_id,corner,corner_label,bivariate_id,n_pixels,area_m2,heatwave_temp,mean_baseline_temp,p90_baseline_temp,hw_minus_mean,hw_minus_p90,inland_position,elevation,slope,tpi_50m,southness,canopy_height_max,rock_presence_10m,urban_distance,building_50m,impervious_50m
3456,cool-amplifying,cool amplifying,13,9,900.0,26.563334,19.86,24.46,6.653332,2.0533333,3000.0,34.342,5.871723,-0.19084121,-0.9831499,21.942,0.0,70.0,0.0,0.11004116
3457,cool-amplifying,cool amplifying,13,9,900.0,26.403334,19.66,24.21,6.726666,2.14,3000.0,29.851,1.5936788,-0.32488006,0.76196104,27.824,0.0,40.0,0.014800001,0.15308642
3458,cool-amplifying,cool amplifying,13,39,3900.0,26.453333,19.68,24.24,6.7733345,2.1899993,3000.0,32.57,3.9177053,-0.33912086,-0.540063,28.833,0.0,41.231056,0.0064923074,0.02136119
3459,cool-amplifying,cool amplifying,13,11,1100.0,26.71,20.01,25.36,6.723334,1.3433329,3000.0,36.308,2.264707,-0.5279591,-0.8592996,23.185,0.0,233.45236,0.0,0.0
3460,cool-amplifying,cool amplifying,13,14,1400.0,26.56,19.92,25.205,6.65,1.3683329,3000.0,34.762,1.5689728,-0.4027999,0.5451798,24.6265,0.0,122.67421,0.0,0.0
3461,cool-amplifying,cool amplifying,13,40,4000.0,26.453335,19.71,24.25,6.7199993,2.175,3000.0,34.648,3.0649948,-0.2106395,0.8438363,26.389,0.0,30.0,0.022939999,0.08152161
3462,cool-amplifying,cool amplifying,13,30,3000.0,26.826668,20.0,25.305,6.749999,1.3866669,2969.427,26.633,14.944521,0.42550015,-0.22041482,24.427,0.0,148.66069,0.0,0.0
3463,cool-amplifying,cool amplifying,13,36,3600.0,26.718334,19.98,25.4,6.728333,1.3099997,3000.0,36.4835,2.7607439,-0.5506588,-0.68955386,26.6315,0.0,192.8284,0.0,0.0
3464,cool-amplifying,cool amplifying,13,13,1300.0,26.75,20.02,25.33,6.6733327,1.3699995,3000.0,34.641,3.2516727,-0.6668799,0.34625784,25.652,0.0,160.0,0.0,0.0
3465,cool-amplifying,cool amplifying,13,13,1300.0,26.736666,19.97,24.65,6.773334,2.0766666,3000.0,30.384,3.1376317,-0.56251985,0.9004993,26.089,0.0,20.0,0.042153843,0.3079677
3466,cool-amplifying,cool amplifying,13,11,1100.0,26.53,19.9,25.1,6.6333327,1.4666659,2947.0325,32.555,9.619024,-0.9476391,-0.05097417,29.94,0.0,50.0,0.0,0.030976431
3467,cool-amplifying,cool amplifying,13,39,3900.0,26.74,20.03,25.97,6.6866665,0.75000066,1021.7632,9.142,10.934233,-0.33591968,-0.96820396,31.733,0.0,519.7114,0.0,0.0
3468,cool-amplifying,cool amplifying,13,20,2000.0,26.726667,20.02,25.945,6.6766667,0.79666674,945.0612,4.5755,16.006445,-0.8009001,-0.5838982,31.196,0.0,490.45496,0.0,0.0
3469,cool-amplifying,cool amplifying,13,29,2900.0,26.64,19.83,24.66,6.6700006,2.1266663,3000.0,29.854,2.1202807,-0.35700035,0.8379524,28.533,0.0,28.284271,0.013944827,0.14383142
3470,cool-amplifying,cool amplifying,13,29,2900.0,26.683332,19.76,24.52,6.9166675,2.1400013,3000.0,30.306,6.0384116,-0.051879197,-0.49473146,25.611,0.0,240.41629,0.0,0.0
3471,cool-amplifying,cool amplifying,13,27,2700.0,26.583334,19.8,24.45,6.7899995,2.1166668,3000.0,29.654,2.8395388,-0.33312035,-0.2960452,25.023,0.037037037,203.96078,0.0,0.0
3472,cool-amplifying,cool amplifying,13,10,1000.0,26.736668,20.07,25.375,6.67,1.4083331,2976.5662,40.154,5.7883387,-0.25214028,0.6670443,22.735,0.0,44.72136,0.0,0.0010864197
3473,cool-amplifying,cool amplifying,13,17,1700.0,26.843332,20.13,26.07,6.706667,0.79000026,886.1716,11.453,17.17529,0.7077599,-0.098586515,26.752,0.0,547.0832,0.0,0.0
3474,cool-amplifying,cool amplifying,13,9,900.0,26.576668,19.83,24.45,6.766668,2.0866673,3000.0,31.231,4.1056733,-0.38227996,0.58916694,24.108,0.0,237.69728,0.0,0.0
3475,cool-amplifying,cool amplifying,13,107,10700.0,26.89,20.16,25.98,6.7000003,0.9033343,1088.5311,13.938,13.690392,-0.34579998,-0.62388116,27.129,0.0,544.5181,0.0,0.056007843
3476,cool-amplifying,cool amplifying,13,9,900.0,26.876667,20.24,25.92,6.7066665,0.94666606,716.1005,8.225,7.64808,-0.44348013,-0.28556153,25.671,0.0,414.84937,0.0,0.058641978
3477,cool-amplifying,cool amplifying,13,9,900.0,26.916666,19.91,26.1,6.98,0.7699998,848.646,11.965,19.666515,0.24455962,0.25714016,30.678,0.0,613.51447,0.0,0.0
3478,cool-amplifying,cool amplifying,13,18,1800.0,26.67,19.92,24.625,6.6849995,2.0150003,3000.0,32.017,3.8839967,-0.17659938,-0.7642273,24.634,0.0,30.0,0.02442222,0.038333334
3479,cool-amplifying,cool amplifying,13,12,1200.0,26.84,20.134998,25.92,6.7266665,0.95333385,924.5868,23.1355,9.019487,-0.25037992,-0.5353781,23.300499,0.0,633.2428,0.0,0.0
3480,cool-amplifying,cool amplifying,13,42,4200.0,26.836666,19.88,25.98,6.955,0.8650007,778.07446,8.407,8.18461,0.01609982,-0.32812026,31.54,0.0,651.3723,0.0,0.0
3481,cool-amplifying,cool amplifying,13,9,900.0,26.783333,20.08,25.95,6.693333,0.8433323,820.7313,17.374,10.0907545,0.32523957,0.5798983,28.216,0.0,696.41943,0.0,0.0
3482,cool-amplifying,cool amplifying,13,13,1300.0,26.94,20.27,25.97,6.6733336,0.96000034,605.3924,15.538,16.73219,-0.6336802,-0.9290944,27.484,0.0,138.92444,0.0,0.0417094
3483,cool-amplifying,cool amplifying,13,9,900.0,26.933332,20.3,25.97,6.64,0.973334,570.0877,23.94,12.356408,-0.9794794,-0.8659007,25.26,0.0,121.65526,0.0,0.0
3484,cool-amplifying,cool amplifying,13,10,1000.0,26.558334,19.84,24.89,6.7099996,1.6533337,2899.3613,40.2135,3.0635908,-0.1494596,0.6171553,24.620499,0.0,96.4142,0.0,0.0
3485,cool-amplifying,cool amplifying,13,9,900.0,26.876667,20.14,26.03,6.6966667,0.8499997,679.41156,7.955,12.4667425,0.7560399,-0.21726783,30.812,0.0,631.5853,0.0,0.0
