patch_id,corner,corner_label,bivariate_id,n_pixels,area_m2,centroid_x,centroid_y,heatwave_temp,mean_baseline_temp,p90_baseline_temp,hw_minus_mean,hw_minus_p90,inland_position,elevation,slope,tpi_50m,southness,canopy_height_max,rock_presence_10m,urban_distance,building_50m,impervious_50m
901,cool-stable,cool stable,1,32,3200.0,25508166.875,6679758.125,25.581667,20.134998,24.904999,5.418334,0.65333307,587.6222,17.61,3.2957184,-0.3289199,0.4899156,22.2665,0.0,512.5427,0.0,0.0
902,cool-stable,cool stable,1,23,2300.0,25506474.56521739,6679789.782608695,25.876667,20.19,25.56,5.6633325,0.42666563,1312.4404,11.185,5.596399,0.36628032,-0.73753387,22.916,0.0,107.70329,0.0,0.0
903,cool-stable,cool stable,1,26,2600.0,25492151.153846152,6679763.076923077,25.358334,19.625,23.8,5.661667,1.4316671,2131.349,16.066,1.2629681,-0.28485984,-0.87243295,26.714,0.0,33.83914,0.017630769,0.13467711
904,cool-stable,cool stable,1,19,1900.0,25492627.10526316,6679760.7894736845,25.436666,19.68,23.94,5.653332,1.3066673,2278.4424,15.886,0.7068599,-0.046480063,-0.0050657913,28.603,0.0,80.622574,0.0,0.25583497
905,cool-stable,cool stable,1,15,1500.0,25495746.333333332,6679786.333333333,25.486666,19.83,24.54,5.67,1.0633322,3000.0,20.519,3.095395,-0.27927986,0.051996946,30.538,0.0,20.0,0.020373333,0.072814815
906,cool-stable,cool stable,1,48,4800.0,25496934.791666668,6679756.041666667,25.5,19.9,24.52,5.6366673,0.96166706,2602.6714,27.0525,3.5397296,0.07095985,-0.25954038,26.0895,0.0,120.6232,0.0,0.11340792
907,cool-stable,cool stable,1,40,4000.0,25492034.0,6679754.25,25.253334,19.685001,23.81,5.5750003,1.3516665,2101.2974,16.493,0.54335713,-0.093180776,-0.44735757,25.136501,0.0,41.231056,0.00064,0.11947839
908,cool-stable,cool stable,1,201,20100.0,25499264.402985074,6679717.23880597,25.166666,19.82,24.44,5.3566666,0.70000076,1625.9459,7.98,0.80425996,-0.050920084,-0.046104766,27.303,0.0,110.453606,0.0011860697,0.035403844
909,cool-stable,cool stable,1,52,5200.0,25507562.884615384,6679677.115384615,25.433334,20.314999,24.805,5.1733336,0.60666656,1145.8839,1.1405001,1.3579583,-0.24600002,-0.22558679,24.8285,0.0,170.14694,0.0,0.0
910,cool-stable,cool stable,1,19,1900.0,25502699.736842107,6679761.842105263,25.523333,20.02,24.83,5.5299993,0.6666667,2634.236,18.307,1.4149677,-0.29292008,-0.38220936,27.242,0.0,72.11102,0.0,0.00010396361
911,cool-stable,cool stable,1,129,12900.0,25506563.527131785,6679703.449612403,25.216667,20.01,24.61,5.25,0.5800012,1200.7498,4.364,0.650179,-0.07011993,0.10898154,25.714,0.0,70.71068,0.007336434,0.04877787
