patch_id,corner_id,corner_label,n_pixels,area_m2,mean_r_thw,mean_r_offset,dominant_lulc,dominant_lulc_label,dominant_lulc_percent
6133,16,Hot-amplifying,10,1000.0,0.858793186876996,0.8570031936514081,Other vegetation,Other veg.,40.0
6134,16,Hot-amplifying,16,1600.0,0.8784894472402336,0.9167325558888997,Trees 2–10 m,Trees 2–10 m,56.25
6135,16,Hot-amplifying,9,900.0,0.9125312286059406,0.8479983942134335,Trees 2–10 m,Trees 2–10 m,44.44444444444444
6136,16,Hot-amplifying,9,900.0,0.8820647619457258,0.9041882354627927,Other vegetation,Other veg.,66.66666666666667
6137,16,Hot-amplifying,22,2200.0,0.8770061204320375,0.9229157978703125,Other vegetation,Other veg.,54.54545454545455
6138,16,Hot-amplifying,15,1500.0,0.8726223426562147,0.9058873081927373,Other vegetation,Other veg.,40.0
6139,16,Hot-amplifying,9,900.0,0.8093849622389252,0.8591908341129284,Other vegetation,Other veg.,33.333333333333336
6140,16,Hot-amplifying,9,900.0,0.8810373452907082,0.9265932951242155,Other vegetation,Other veg.,66.66666666666667
6141,16,Hot-amplifying,38,3800.0,0.9227909219482462,0.9012875712459314,Other vegetation,Other veg.,60.526315789473685
6142,16,Hot-amplifying,14,1400.0,0.8768797841405023,0.8215133898328518,Trees 2–10 m,Trees 2–10 m,21.428571428571427
6143,16,Hot-amplifying,33,3300.0,0.9524773526418739,0.8446025238350797,Other vegetation,Other veg.,72.72727272727273
6144,16,Hot-amplifying,9,900.0,0.9044094253936508,0.891104049951432,Other vegetation,Other veg.,55.55555555555556
6145,16,Hot-amplifying,26,2600.0,0.8496099750116008,0.9013568799986102,Trees 2–10 m,Trees 2–10 m,23.076923076923077
6146,16,Hot-amplifying,11,1100.0,0.8494774611497732,0.9678276132074642,Trees >15 m,Trees >15 m,45.45454545454545
6147,16,Hot-amplifying,23,2300.0,0.9054672731378431,0.9276782140237343,Other vegetation,Other veg.,39.130434782608695
6148,16,Hot-amplifying,13,1300.0,0.9239177194301553,0.862876618848747,Other vegetation,Other veg.,38.46153846153846
6149,16,Hot-amplifying,10,1000.0,0.8632549759669667,0.946248491886835,Other vegetation,Other veg.,50.0
6150,16,Hot-amplifying,16,1600.0,0.9367670126455693,0.9287466531178425,Other vegetation,Other veg.,56.25
6151,16,Hot-amplifying,12,1200.0,0.8972652612449864,0.907077486370528,Other vegetation,Other veg.,50.0
6152,16,Hot-amplifying,15,1500.0,0.8543054077013238,0.8799476112132649,Trees 2–10 m,Trees 2–10 m,46.666666666666664
6153,16,Hot-amplifying,151,15100.0,0.916052337941258,0.9448210698529265,Other vegetation,Other veg.,63.57615894039735
6154,16,Hot-amplifying,10,1000.0,0.9308816413432692,0.8912842994935322,Other vegetation,Other veg.,60.0
6155,16,Hot-amplifying,10,1000.0,0.8299381592954612,0.8810160972934611,Other vegetation,Other veg.,20.0
6156,16,Hot-amplifying,27,2700.0,0.8792762251589957,0.8467335147011911,Other vegetation,Other veg.,44.44444444444444
6157,16,Hot-amplifying,70,7000.0,0.9273957086173287,0.8398482531694571,Fields,Fields,94.28571428571429
6158,16,Hot-amplifying,13,1300.0,0.8904498159990274,0.8790470412196919,Other vegetation,Other veg.,38.46153846153846
6159,16,Hot-amplifying,71,7100.0,0.8997780619002249,0.9044164123422428,Other vegetation,Other veg.,43.66197183098591
6160,16,Hot-amplifying,22,2200.0,0.8532349137362203,0.9466218851634511,Other vegetation,Other veg.,54.54545454545455
6161,16,Hot-amplifying,10,1000.0,0.9555203393657861,0.8641329720313558,Trees 2–10 m,Trees 2–10 m,40.0
6162,16,Hot-amplifying,46,4600.0,0.940967120959021,0.8793569638291278,Fields,Fields,41.30434782608695
