class,patch_id,n_pixels,connectivity_loss_mean_percent,connectivity_loss_median_percent,connectivity_loss_p25_percent,connectivity_loss_p75_percent,connectivity_loss_p90_percent,heatwave_temp_mean_degC,heatwave_temp_median_degC,p90_baseline_temp_mean_degC,p90_baseline_temp_median_degC,p90_offset_mean_degC,p90_offset_median_degC,p90_offset_p25_degC,p90_offset_p75_degC,area_m2,log10_area_m2,expected_p90_offset_degC,residual_cooling_loss_degC
Trees 2–10 m,19831,13,8.05343,7.9031563,7.845572471618652,8.045206069946289,8.741721153259277,26.799232,26.95,25.83846,25.92,0.9607693,0.88333195,0.8699995875358582,1.0799999237060547,1300.0,3.113943352306837,0.7609314971783767,0.12240045730084081
Trees 2–10 m,19832,13,4.8161783,4.789956,4.157522201538086,5.084610462188721,5.704946804046632,27.458717,27.493334,26.483076,26.45,0.975641,0.8999996,0.7666664123535156,1.0966663360595703,1300.0,3.113943352306837,0.7277178349491613,0.17228178358111212
Trees 2–10 m,19847,18,9.428154,9.5325775,9.207164287567139,9.814674854278564,9.919782161712646,29.932037,30.078333,28.515556,28.529999,1.4164815,1.4216665,1.268333077430725,1.5408321917057037,1800.0,3.255272505103306,0.566754521410367,0.8549119815422087
Trees 2–10 m,19861,12,21.600721,21.739033,21.017722606658936,22.076529026031494,22.39919834136963,27.170832,27.21,25.513334,25.255001,1.6574997,1.5599997,1.4966657757759094,1.9474996328353882,1200.0,3.0791812460476247,0.7457619828360849,0.8142377215248771
Trees 2–10 m,19894,17,14.776161,14.780228,14.458578109741211,14.92191219329834,15.262294006347656,26.509018,26.4,25.731766,25.73,0.777255,0.77000046,0.6366659998893738,0.8966668248176575,1700.0,3.230448921378274,0.792126129889022,-0.022125672125350104
Trees 2–10 m,19897,17,6.9061494,6.8302035,6.464993476867676,7.209812641143799,7.717718696594239,27.431765,27.366667,26.827059,26.84,0.60470575,0.58333397,0.5066661834716797,0.6733328700065613,1700.0,3.230448921378274,0.733034276676379,-0.14970030756016806
Trees 2–10 m,19947,9,0.88494164,1.0550963,0.8645361065864563,1.1377942562103271,1.1440727710723877,26.715925,26.88,26.09111,26.11,0.62481517,0.6533343,0.6100006103515625,0.7200005650520325,900.0,2.9542425094393248,0.7685370010027991,-0.11520268141127687
Trees 2–10 m,19951,14,6.679437,6.5730734,6.350261807441711,7.1249202489852905,7.353504037857056,27.176428,27.215,26.67,26.759998,0.50642854,0.46166673,0.3966660425066948,0.6283340454101562,1400.0,3.146128035678238,0.744061863153244,-0.28239513012673945
Trees 2–10 m,19955,11,19.142048,18.847439,18.119839668273926,19.909238815307617,20.935527801513672,27.715454,27.623333,26.27909,26.15,1.4363633,1.3266659,1.2516667246818542,1.681666076183319,1100.0,3.041392685158225,0.7212821828846303,0.6053836954112681
Trees 2–10 m,19970,10,7.940486,7.9979706,7.575601935386658,8.341087579727173,8.396471691131591,28.391,28.251667,27.607998,27.415,0.78300023,0.8616673,0.5775012969970703,0.9974991232156754,1000.0,3.0,0.6837346061222995,0.17793266930647245
