patch_id,corner,bivariate_id,n_pixels,area_m2,canopy_height_max,elevation,slope,tpi_50m,dist_ocean,dist_inland_water,building_50m,impervious_50m
158,cool-stable,1,15,1500.0,25.732,15.218,3.404059,-0.24456024,986.5597,500.0,0.0,0.0
159,cool-stable,1,176,17600.0,24.059,17.432,0.78461987,-0.31646055,1917.2634,371.68506,0.0,0.0
160,cool-stable,1,22,2200.0,23.4845,16.6035,3.0635185,0.13213971,3000.0,68.89636,0.0011999999,0.0753367
161,cool-stable,1,20,2000.0,22.9855,26.095001,1.5483334,-0.3333406,1576.054,165.1561,0.020019999,0.05532099
162,cool-stable,1,10,1000.0,24.9305,17.768,1.7365696,-0.30816036,3000.0,107.234,0.05896,0.11760493
163,cool-stable,1,9,900.0,28.716,11.735,4.427453,-0.8016403,1044.4615,500.0,0.0,0.0
164,cool-stable,1,56,5600.0,25.587502,14.7655,2.2481384,-0.41923988,992.8998,500.0,0.0,0.0
165,cool-stable,1,18,1800.0,29.615,19.8265,2.7296176,-0.66332054,926.8494,500.0,0.0,0.0
166,cool-stable,1,18,1800.0,27.1665,9.901501,2.2803307,-0.37815973,1109.0894,500.0,0.0,0.076790124
167,cool-stable,1,130,13000.0,26.3475,18.6105,3.5359356,-0.10965977,1049.0468,500.0,0.0,0.0
168,cool-stable,1,10,1000.0,23.5875,12.355499,2.3710465,-0.28387988,1077.5657,500.0,0.0,0.0
169,cool-stable,1,19,1900.0,23.88,27.879,2.3603442,-0.18591988,1557.0806,120.83046,0.0040210523,0.024749838
170,cool-stable,1,162,16200.0,27.811,17.6145,0.51740116,-0.022280235,3000.0,178.60022,0.0,0.0
171,cool-stable,1,9,900.0,26.761,18.331,2.2030468,-0.8223605,1053.8501,500.0,0.0,0.0
172,cool-stable,1,10,1000.0,29.654,12.1245,2.8315194,-0.8093001,1022.1293,500.0,0.0,0.0
173,cool-stable,1,13,1300.0,23.394,25.132,4.1024814,-0.050959624,859.0693,500.0,0.0,0.0
174,cool-stable,1,10,1000.0,29.416,20.7575,0.4410697,-0.09494038,3000.0,255.09996,0.0,0.0
175,cool-stable,1,12,1200.0,26.557999,8.6275,2.871172,-1.0194002,1039.8477,500.0,0.0,0.06776749
176,cool-stable,1,17,1700.0,25.487,14.247,3.475473,-0.0418396,1044.7966,500.0,0.0,0.004124909
177,cool-stable,1,50,5000.0,28.5215,20.728,3.7223287,0.073740125,3000.0,176.48674,0.000111999994,0.021804938
178,cool-stable,1,17,1700.0,25.905,28.973,4.7978477,0.34695923,790.0,500.0,0.0016705883,0.0
179,cool-stable,1,30,3000.0,25.228,18.6305,0.72683656,-0.18731987,1237.0327,270.4599,0.0,0.0
180,cool-stable,1,20,2000.0,23.3845,14.764,3.0260196,-0.5040203,992.14404,469.73285,0.0,0.0
181,cool-stable,1,20,2000.0,27.0825,18.359001,0.76871824,-0.037979662,3000.0,198.61542,0.0,0.0
182,cool-stable,1,11,1100.0,31.066,23.92,2.6963933,-0.08327957,3000.0,421.54477,0.0,0.016329966
183,cool-stable,1,9,900.0,27.09,19.774,0.6525065,0.011599808,3000.0,268.32816,0.0,0.0
184,cool-stable,1,16,1600.0,25.942501,27.418999,7.005929,0.33719993,3000.0,112.91048,0.0,0.009266975
185,cool-stable,1,9,900.0,25.292,27.412,5.0616207,0.4758407,3000.0,89.44272,0.022266665,0.052798353
186,cool-stable,1,13,1300.0,31.614,26.095,0.52706444,-0.048400115,3000.0,63.245552,0.0,0.0
187,cool-stable,1,18,1800.0,28.341,26.629501,4.922835,0.27046,3000.0,154.10342,0.0041333335,0.02419753
188,cool-stable,1,22,2200.0,26.48,25.236,3.1055844,-0.7969799,2560.2441,500.0,0.0,0.0
189,cool-stable,1,57,5700.0,31.409,25.403,0.21836512,-0.03004036,3000.0,22.36068,0.0,0.0
